Train: 800 | Test: 200
Epoch [1/25] Train Loss: 0.3884 | Test Loss: 0.2676 | Test Dice: 0.8489
Epoch [2/25] Train Loss: 0.2659 | Test Loss: 0.2347 | Test Dice: 0.8684
Epoch [3/25] Train Loss: 0.2270 | Test Loss: 0.2191 | Test Dice: 0.8783
Epoch [4/25] Train Loss: 0.1989 | Test Loss: 0.1899 | Test Dice: 0.8879
Epoch [5/25] Train Loss: 0.1754 | Test Loss: 0.1634 | Test Dice: 0.8885
Epoch [6/25] Train Loss: 0.1555 | Test Loss: 0.1539 | Test Dice: 0.8929
Epoch [7/25] Train Loss: 0.1385 | Test Loss: 0.1371 | Test Dice: 0.8908
Epoch [8/25] Train Loss: 0.1244 | Test Loss: 0.1274 | Test Dice: 0.8981
Epoch [9/25] Train Loss: 0.1125 | Test Loss: 0.1113 | Test Dice: 0.8952
Epoch [10/25] Train Loss: 0.1030 | Test Loss: 0.1057 | Test Dice: 0.8955
Epoch [11/25] Train Loss: 0.0947 | Test Loss: 0.1033 | Test Dice: 0.8945
Epoch [12/25] Train Loss: 0.0867 | Test Loss: 0.0950 | Test Dice: 0.9009
Epoch [13/25] Train Loss: 0.0816 | Test Loss: 0.0898 | Test Dice: 0.8985
Epoch [14/25] Train Loss: 0.0753 | Test Loss: 0.0847 | Test Dice: 0.9032
Epoch [15/25] Train Loss: 0.0695 | Test Loss: 0.0805 | Test Dice: 0.9047
Epoch [16/25] Train Loss: 0.0650 | Test Loss: 0.0791 | Test Dice: 0.8987
Epoch [17/25] Train Loss: 0.0628 | Test Loss: 0.3282 | Test Dice: 0.6377
Epoch [18/25] Train Loss: 0.0663 | Test Loss: 0.0739 | Test Dice: 0.9051
Epoch [19/25] Train Loss: 0.0559 | Test Loss: 0.0713 | Test Dice: 0.9062
Epoch [20/25] Train Loss: 0.0519 | Test Loss: 0.0714 | Test Dice: 0.9014
Epoch [21/25] Train Loss: 0.0488 | Test Loss: 0.0707 | Test Dice: 0.9052
Epoch [22/25] Train Loss: 0.0463 | Test Loss: 0.0729 | Test Dice: 0.8924
Epoch [23/25] Train Loss: 0.0442 | Test Loss: 0.0713 | Test Dice: 0.9048
Epoch [24/25] Train Loss: 0.0419 | Test Loss: 0.0701 | Test Dice: 0.9023
Epoch [25/25] Train Loss: 0.0401 | Test Loss: 0.0723 | Test Dice: 0.8960
Best model saved to best_unet_teeth.pt with Dice = 0.9062
